#Resistor measurement original SW
60 61
120 120
240 240
340 339
680 677
1360 1357
3900 3865
7800 7676
11000 10902
22000 21100
44000 43100
50000 49200
100000 99000
200000 196800
270000 266300
940000 919600
1000000 973800
2000000 1922000
10000000 8433800
