# Capacity measurement with mega168-3 , COMP_SLEW1=4000, REF_C_KORR=66, C_H_KORR=5
# 1= printed, 2=Peaktech, 3=LCR,  4=mega168, 5=mega168as
#  168-3
32e-12      34e-12      34e-12    34e-12    35e-12
56e-12      58e-12      57e-12    57e-12    57e-12 
100e-12     103e-12     104e-12   103e-12   103e-12
220e-12     228e-12     226e-12   228e-12   228e-12
410e-12     402e-12     393e-12   395e-12   395e-12
715e-12     727e-12     720e-12   723e-12   724e-12
1000e-12    1014e-12    1004e-12  1007e-12  1007e-12
3.3e-9      3.32e-9     3.205e-9  3236e-12  3238e-12
7870e-12    7.94e-9     7880e-12  7862e-12  7867e-12
10e-9       10.10e-9    10.012e-9 10.00e-9  9.991e-9
18e-9       18.57e-9    18.42e-9  18.39e-9  18.40e-9
33e-9       33.21e-9    32.96e-9  32.98e-9  32.95e-9
56e-9       56.4e-9     55.89e-9  55.87e-9  55.86e-9
100e-9      102.2e-9    101.26e-9 101.2e-9  101.1e-9
330e-9      336.9e-9    333.2e-9  332.8e-9  332.4e-9
660e-9      675e-9      669e-9    668.9e-9  667.8e-9
1e-6        1066e-9     1054e-9   1056e-9   1056e-9
2.2e-6      2.198e-6    2.175e-6  2176e-9   2174e-9
4.4e-6      4.23e-6     4.189e-6  4.185e-6  4.184e-6
#                           Diode
11e-6       10.77e-6    10.64e-6  10.66e-6  10.64e-6
22e-6       21.94e-6    21.65e-6  21.67e-6  21.66e-6
44e-6       46.9e-6     46.60e-6  46.90e-6  46.90e-6
68e-6       67.9e-6     63.70e-6  65.50e-6  65.43e-6
66e-6       70.9e-6     70.44e-6  70.96e-6  70.17e-6
88e-6       92.7e-6     92.11e-6  93.24e-6  91.92e-6
110e-6      117.8e-6    117.0e-6  118.6e-6  116.8e-6
132e-6      139.5e-6    138.8e-6  140.4e-6  138.4e-6
150e-6      148.5e-6   137.67e-6  141.0e-6  140.7e-6
200e-6      199.4e-6    191.8e-6  195.7e-6  192.0e-6
470e-6      445e-6      428e-6    448.3e-6  450.4e-6
1000e-6     996e-6      961.7e-6  976.4e-6  985.5e-6
2200e-6     2.20e-3     2.10e-3   2242e-6   2215e-6
4700e-6     4.75e-3     4.62e-3   4892e-6   4876e-6
10e-3       9.76e-3     9.59e-3   10.13e-3  10.08e-3
20e-3       19.65e-3    18.94e-3  20.24e-3  20.16e-3
40e-3       38.65e-3    38.65e-3  40.27e-3   40.09e-3




