# Panasonic FR series 10V
# Capacity ESR@100kHz 20°C
100 0.3
150 0.3
220 0.13
680 0.056
820 0.043
1000 0.041
1500 0.028
1800 0.020
2200 0.018
3300 0.018
3900 0.015
4700 0.013
5600 0.012
6800 0.012
