# Panasonic FC Series 50V
# Capacity ESR@100kHz 20°C
1.0  2.4
2.2  1.8
3.3 1.3
4.7 1.3
10 1.3
12 1.3
15 1.3
18 1.3
22 1.3
27 0.9
33 0.6
39 0.6
47 0.6
56 0.4
68 0.234
82 0.234
100 0.162
120 0.155
150 0.119
180 0.119
220 0.09
270 0.082
330 0.06
390 0.063
470 0.050
560 0.050
680 0.040
820 0.034
1000 0.030
1200 0.028
1500 0.025
1800 0.023
2200 0.023
